CI_DATE,CASH_IN_ID,RETAILER_ID,PAYMENT_METHOD,FINAL_AMOUNT
2/26/2024,5559223,546588,UPG_DIGITAL_WALLET,200
2/7/2024,5278429,580434,UPG_DIGITAL_WALLET,44
3/12/2024,5798881,245268,UPG_DIGITAL_WALLET,"2,000"
4/25/2024,6496311,244074,UPG_DIGITAL_WALLET,"1,000"
3/22/2024,5940529,236268,COLLECTION,"2,350"
4/10/2024,6254515,527286,UPG_DIGITAL_WALLET,150
1/5/2024,4802562,585234,UPG_DIGITAL_WALLET,100
2/7/2024,5278417,321078,UPG_DIGITAL_WALLET,200
4/13/2024,6283423,486246,COLLECTION,"1,500"
4/7/2024,6207637,630306,UPG_DIGITAL_WALLET,500
4/8/2024,6225097,84732,UPG_DIGITAL_WALLET,"1,000"
4/8/2024,6215745,586872,UPG_DIGITAL_WALLET,410
4/10/2024,6257560,149070,UPG_DIGITAL_WALLET,"1,000"
4/12/2024,6277335,15684,COLLECTION,"3,000"
4/14/2024,6304035,108132,COLLECTION,"1,000"
4/8/2024,6225049,50406,COLLECTION,"9,000"
4/9/2024,6238724,4512,COLLECTION,"2,000"
4/14/2024,6305842,592410,UPG_DIGITAL_WALLET,500
4/9/2024,6238735,163434,UPG_DIGITAL_WALLET,"2,225"
3/14/2024,5828141,598050,UPG_DIGITAL_WALLET,500
4/8/2024,6225435,8250,UPG_DIGITAL_WALLET,100
4/13/2024,6288040,633882,UPG_DIGITAL_WALLET,34
3/14/2024,5828732,27300,UPG_DIGITAL_WALLET,300
3/14/2024,5828176,74106,COLLECTION,"1,500"
4/8/2024,6225812,7026,COLLECTION,"6,500"
4/10/2024,6257559,491400,UPG_DIGITAL_WALLET,100
4/10/2024,6257452,595644,UPG_DIGITAL_WALLET,200
3/14/2024,5828584,490782,UPG_DIGITAL_WALLET,10
4/8/2024,6215912,313770,UPG_DIGITAL_WALLET,500
3/17/2024,5870397,68148,UPG_DIGITAL_WALLET,"1,000"
3/17/2024,5870464,40818,COLLECTION,"2,000"
4/12/2024,6280282,210792,COLLECTION,"1,000"
2/17/2024,5420708,69180,UPG_DIGITAL_WALLET,"17,220"
1/3/2024,4765460,362688,COLLECTION,"1,000.01"
2/17/2024,5420928,153342,UPG_DIGITAL_WALLET,500
1/3/2024,4765724,585882,UPG_DIGITAL_WALLET,39
2/20/2024,5466427,490782,UPG_DIGITAL_WALLET,"1,405"
4/17/2024,6357719,550668,UPG_DIGITAL_WALLET,5
1/15/2024,4939241,34950,COLLECTION,0.01
1/15/2024,4939482,230616,COLLECTION,"1,000.01"
4/30/2024,6580127,354540,UPG_DIGITAL_WALLET,"2,000"
4/27/2024,6520710,151062,UPG_DIGITAL_WALLET,300
4/27/2024,6515810,491400,UPG_DIGITAL_WALLET,420
4/27/2024,6514958,527286,UPG_DIGITAL_WALLET,200
4/30/2024,6569325,513984,UPG_DIGITAL_WALLET,400
4/15/2024,6333162,252714,COLLECTION,"1,000"
4/20/2024,6402122,537102,COLLECTION,"2,000"
4/23/2024,6455811,25572,COLLECTION,"2,000"
4/30/2024,6582690,521148,UPG_DIGITAL_WALLET,180
3/4/2024,5684314,488970,UPG_DIGITAL_WALLET,500
3/16/2024,5845856,327012,UPG_DIGITAL_WALLET,50
3/16/2024,5845844,327012,UPG_DIGITAL_WALLET,200
4/22/2024,6446399,390384,COLLECTION,"1,000"
4/22/2024,6440272,188820,COLLECTION,"4,000"
4/21/2024,6418401,29166,UPG_DIGITAL_WALLET,20
4/22/2024,6438077,306408,UPG_DIGITAL_WALLET,"1,000"
4/20/2024,6407713,298926,COLLECTION,"1,200"
3/21/2024,5926422,50952,UPG_DIGITAL_WALLET,500
4/13/2024,6288052,525006,UPG_DIGITAL_WALLET,"2,000"
4/24/2024,6479580,539784,UPG_DIGITAL_WALLET,"1,000"
2/20/2024,5466437,58812,UPG_DIGITAL_WALLET,150
3/6/2024,5717720,230370,UPG_DIGITAL_WALLET,500
3/5/2024,5692397,9072,COLLECTION,"1,000"
3/28/2024,6040065,555996,UPG_DIGITAL_WALLET,38
4/27/2024,6523356,514404,UPG_DIGITAL_WALLET,76
4/27/2024,6522446,66978,UPG_DIGITAL_WALLET,80
4/27/2024,6521042,577698,UPG_DIGITAL_WALLET,"1,400"
4/25/2024,6496335,495150,UPG_DIGITAL_WALLET,200
4/15/2024,6322195,212874,UPG_DIGITAL_WALLET,"2,000"
3/16/2024,5852676,620778,COLLECTION,700
4/9/2024,6234857,110964,COLLECTION,"1,000"
4/23/2024,6454416,541602,UPG_DIGITAL_WALLET,18
3/10/2024,5769116,312648,UPG_DIGITAL_WALLET,"6,770"
4/21/2024,6418213,16026,UPG_DIGITAL_WALLET,500
1/16/2024,4948366,216288,UPG_DIGITAL_WALLET,500
3/21/2024,5926443,528306,UPG_DIGITAL_WALLET,"1,500"
1/16/2024,4948664,100854,UPG_DIGITAL_WALLET,100
3/21/2024,5926551,98010,UPG_DIGITAL_WALLET,"1,015"
2/7/2024,5278134,589554,UPG_DIGITAL_WALLET,200
1/16/2024,4949036,69180,UPG_DIGITAL_WALLET,"2,000"
3/14/2024,5828108,247800,COLLECTION,"1,500"
4/16/2024,6338677,475638,UPG_DIGITAL_WALLET,"3,000"
4/14/2024,6299856,291546,UPG_DIGITAL_WALLET,"1,000"
4/9/2024,6239212,39198,COLLECTION,"7,000"
4/9/2024,6239257,386964,COLLECTION,"1,000"
2/18/2024,5439922,73386,UPG_DIGITAL_WALLET,20
1/15/2024,4939454,444636,UPG_DIGITAL_WALLET,200
4/30/2024,6579167,479052,COLLECTION,"10,000"
4/29/2024,6547261,364794,COLLECTION,"1,000"
4/30/2024,6569022,540912,UPG_DIGITAL_WALLET,145
4/6/2024,6188063,43320,UPG_DIGITAL_WALLET,"2,000"
4/21/2024,6422640,594876,UPG_DIGITAL_WALLET,77
4/15/2024,6333164,245268,UPG_DIGITAL_WALLET,600
1/10/2024,4869943,194070,UPG_DIGITAL_WALLET,600
3/2/2024,5639296,543588,UPG_DIGITAL_WALLET,50
4/20/2024,6408109,631536,UPG_DIGITAL_WALLET,700
4/9/2024,6234848,110964,UPG_DIGITAL_WALLET,"1,500"
4/23/2024,6458547,594012,UPG_DIGITAL_WALLET,250
2/6/2024,5268168,397020,UPG_DIGITAL_WALLET,500
2/6/2024,5268248,553008,UPG_DIGITAL_WALLET,15
2/7/2024,5276851,359256,COLLECTION,"3,000"
2/7/2024,5278184,13494,UPG_DIGITAL_WALLET,813
1/16/2024,4949316,274650,UPG_DIGITAL_WALLET,300
3/14/2024,5827860,12336,UPG_DIGITAL_WALLET,300
4/8/2024,6225549,154182,COLLECTION,"1,800"
2/21/2024,5482580,187818,UPG_DIGITAL_WALLET,"1,000"
1/3/2024,4765329,250848,UPG_DIGITAL_WALLET,25
2/18/2024,5440045,521304,UPG_DIGITAL_WALLET,500
4/14/2024,6304038,623532,UPG_DIGITAL_WALLET,100
3/23/2024,5962384,73146,COLLECTION,"1,000"
3/24/2024,5974716,329826,COLLECTION,"1,000"
4/27/2024,6521343,392250,UPG_DIGITAL_WALLET,"3,000"
4/27/2024,6519417,325200,UPG_DIGITAL_WALLET,"1,733"
4/26/2024,6504434,578862,UPG_DIGITAL_WALLET,10
4/26/2024,6501691,38898,UPG_DIGITAL_WALLET,400
4/26/2024,6499885,18324,UPG_DIGITAL_WALLET,"2,000"
3/23/2024,5951292,67422,UPG_DIGITAL_WALLET,5
1/10/2024,4870424,196500,COLLECTION,"2,200.01"
4/2/2024,6130311,558780,UPG_DIGITAL_WALLET,500
4/23/2024,6456501,578862,UPG_DIGITAL_WALLET,9
4/23/2024,6453957,579348,UPG_DIGITAL_WALLET,"6,737"
3/5/2024,5695756,391584,UPG_DIGITAL_WALLET,120
3/13/2024,5815867,23958,COLLECTION,"3,000"
4/22/2024,6437291,102354,UPG_DIGITAL_WALLET,"1,615"
3/1/2024,5628538,281640,UPG_DIGITAL_WALLET,50
4/23/2024,6458266,451392,UPG_DIGITAL_WALLET,100
4/3/2024,6132482,358380,COLLECTION,"1,250"
1/16/2024,4948593,506892,UPG_DIGITAL_WALLET,"2,000"
2/7/2024,5278431,215160,UPG_DIGITAL_WALLET,250
3/5/2024,5700503,26772,COLLECTION,"1,000"
4/22/2024,6435274,187746,COLLECTION,"4,500"
2/7/2024,5278320,564468,UPG_DIGITAL_WALLET,"1,970"
4/30/2024,6582872,89298,UPG_DIGITAL_WALLET,900
1/15/2024,4939376,203436,UPG_DIGITAL_WALLET,"1,000"
1/16/2024,4948437,32550,UPG_DIGITAL_WALLET,"15,749"
2/7/2024,5277883,47970,UPG_DIGITAL_WALLET,100
3/21/2024,5927329,504684,UPG_DIGITAL_WALLET,200
3/5/2024,5697478,355920,COLLECTION,"1,000"
3/10/2024,5772369,211452,UPG_DIGITAL_WALLET,10
1/14/2024,4924431,163242,UPG_DIGITAL_WALLET,300
3/8/2024,5738126,581838,UPG_DIGITAL_WALLET,100
3/7/2024,5725715,392208,COLLECTION,"2,000"
4/21/2024,6426218,5496,UPG_DIGITAL_WALLET,"1,807"
3/15/2024,5843641,205020,UPG_DIGITAL_WALLET,"2,000"
3/11/2024,5780892,609792,UPG_DIGITAL_WALLET,500
3/8/2024,5747048,502026,UPG_DIGITAL_WALLET,"1,700"
3/8/2024,5738082,35436,COLLECTION,"1,500"
3/5/2024,5697574,150912,COLLECTION,"1,450"
3/9/2024,5760555,10902,UPG_DIGITAL_WALLET,500
4/9/2024,6234588,149070,UPG_DIGITAL_WALLET,700
4/21/2024,6425787,389172,UPG_DIGITAL_WALLET,300
3/16/2024,5852682,50142,COLLECTION,"4,600"
4/21/2024,6431780,117666,UPG_DIGITAL_WALLET,700
3/4/2024,5683794,15570,UPG_DIGITAL_WALLET,"2,200"
3/2/2024,5645786,246018,COLLECTION,"2,500"
3/15/2024,5843788,98982,COLLECTION,"2,000"
4/11/2024,6261537,535734,UPG_DIGITAL_WALLET,200
4/9/2024,6245494,479298,UPG_DIGITAL_WALLET,200
4/8/2024,6219559,626424,UPG_DIGITAL_WALLET,50
4/9/2024,6234688,434808,UPG_DIGITAL_WALLET,5
4/13/2024,6291293,208308,UPG_DIGITAL_WALLET,100
4/7/2024,6212387,515796,UPG_DIGITAL_WALLET,50
4/13/2024,6286277,492954,UPG_DIGITAL_WALLET,50
4/20/2024,6413080,323646,COLLECTION,"2,000"
3/1/2024,5635692,160200,COLLECTION,"1,000"
2/8/2024,5291868,511812,UPG_DIGITAL_WALLET,10
2/4/2024,5222629,294882,UPG_DIGITAL_WALLET,16
4/14/2024,6304243,240126,UPG_DIGITAL_WALLET,"5,000"
4/10/2024,6251024,447750,COLLECTION,"2,000"
4/22/2024,6432884,355578,UPG_DIGITAL_WALLET,200
3/15/2024,5843582,15942,COLLECTION,"3,000"
4/7/2024,6212284,626976,UPG_DIGITAL_WALLET,150
4/29/2024,6554123,478740,UPG_DIGITAL_WALLET,500
3/3/2024,5670195,480204,UPG_DIGITAL_WALLET,997
1/9/2024,4855488,105096,COLLECTION,"1,000.01"
1/9/2024,4855439,517224,UPG_DIGITAL_WALLET,150
4/11/2024,6261449,359898,UPG_DIGITAL_WALLET,"1,000"
4/10/2024,6254322,91542,UPG_DIGITAL_WALLET,500
4/10/2024,6254269,464298,COLLECTION,"1,500"
4/12/2024,6281206,32550,UPG_DIGITAL_WALLET,"6,438"
4/9/2024,6245514,300390,UPG_DIGITAL_WALLET,500
4/12/2024,6274763,236166,UPG_DIGITAL_WALLET,500
4/11/2024,6268818,281640,UPG_DIGITAL_WALLET,65
3/16/2024,5844753,34752,COLLECTION,"1,000"
4/11/2024,6268915,438576,UPG_DIGITAL_WALLET,500
4/13/2024,6295610,244428,UPG_DIGITAL_WALLET,200
4/10/2024,6254331,306414,UPG_DIGITAL_WALLET,500
3/16/2024,5844277,463068,UPG_DIGITAL_WALLET,"1,000"
4/9/2024,6234713,499458,UPG_DIGITAL_WALLET,"2,056"
3/16/2024,5845037,399378,UPG_DIGITAL_WALLET,"2,000"
4/7/2024,6204097,213708,UPG_DIGITAL_WALLET,"15,000"
4/21/2024,6415173,9852,UPG_DIGITAL_WALLET,100
4/20/2024,6413853,578862,UPG_DIGITAL_WALLET,17
4/20/2024,6413997,506592,UPG_DIGITAL_WALLET,100
4/20/2024,6413212,34560,UPG_DIGITAL_WALLET,100
4/20/2024,6412582,544398,UPG_DIGITAL_WALLET,20
2/15/2024,5392965,279522,COLLECTION,"4,500"
4/30/2024,6579067,487548,UPG_DIGITAL_WALLET,"2,072"
1/9/2024,4855677,499554,UPG_DIGITAL_WALLET,11
1/9/2024,4855687,483642,COLLECTION,"2,000.01"
1/9/2024,4855763,67686,COLLECTION,"1,000.01"
3/2/2024,5646041,19158,COLLECTION,"1,500"
4/25/2024,6492119,397992,COLLECTION,"2,000"
4/30/2024,6580498,615840,UPG_DIGITAL_WALLET,300
4/30/2024,6580011,525516,UPG_DIGITAL_WALLET,185
2/9/2024,5303364,343494,UPG_DIGITAL_WALLET,"1,000"
2/9/2024,5308006,325428,UPG_DIGITAL_WALLET,180
2/4/2024,5222565,294882,UPG_DIGITAL_WALLET,225
2/9/2024,5299089,529404,UPG_DIGITAL_WALLET,200
2/5/2024,5239423,164904,COLLECTION,"2,000"
2/9/2024,5299026,493176,UPG_DIGITAL_WALLET,700
2/10/2024,5321366,199158,UPG_DIGITAL_WALLET,100
2/9/2024,5299149,24966,UPG_DIGITAL_WALLET,"3,000"
2/7/2024,5274777,118230,COLLECTION,"4,500"
2/10/2024,5317287,12102,UPG_DIGITAL_WALLET,558
4/30/2024,6579494,153780,COLLECTION,"1,000"
4/14/2024,6300112,412122,UPG_DIGITAL_WALLET,500
4/9/2024,6240007,336642,UPG_DIGITAL_WALLET,300
4/11/2024,6265083,312648,UPG_DIGITAL_WALLET,500
4/14/2024,6302151,617688,UPG_DIGITAL_WALLET,300
4/8/2024,6227419,10572,UPG_DIGITAL_WALLET,"9,000"
4/9/2024,6240107,488232,UPG_DIGITAL_WALLET,"5,000"
4/7/2024,6208531,69636,UPG_DIGITAL_WALLET,"2,110"
4/8/2024,6227293,607392,UPG_DIGITAL_WALLET,390
4/8/2024,6216747,252366,UPG_DIGITAL_WALLET,"1,000"
3/14/2024,5831063,423756,UPG_DIGITAL_WALLET,"3,000"
4/8/2024,6227645,57162,COLLECTION,"1,050"
4/9/2024,6240328,96912,COLLECTION,"3,500"
3/14/2024,5831204,490182,UPG_DIGITAL_WALLET,100
4/7/2024,6208626,493416,UPG_DIGITAL_WALLET,200
4/12/2024,6271857,383076,UPG_DIGITAL_WALLET,80
4/10/2024,6250922,314886,COLLECTION,"3,000"
4/10/2024,6250903,438576,UPG_DIGITAL_WALLET,50
4/7/2024,6208750,514176,UPG_DIGITAL_WALLET,100
4/8/2024,6216857,495168,COLLECTION,"1,000"
4/10/2024,6251012,22836,COLLECTION,"1,700"
4/13/2024,6284230,598254,UPG_DIGITAL_WALLET,100
4/11/2024,6258616,211680,UPG_DIGITAL_WALLET,200
4/8/2024,6227910,492222,UPG_DIGITAL_WALLET,100
4/9/2024,6240719,114486,UPG_DIGITAL_WALLET,300
4/8/2024,6216897,97686,COLLECTION,"1,000"
4/11/2024,6265484,469800,UPG_DIGITAL_WALLET,300
4/11/2024,6258649,492954,UPG_DIGITAL_WALLET,100
4/10/2024,6251164,471450,UPG_DIGITAL_WALLET,200
4/13/2024,6297273,568968,UPG_DIGITAL_WALLET,200
4/12/2024,6272046,445302,UPG_DIGITAL_WALLET,"4,000"
4/8/2024,6228541,569496,UPG_DIGITAL_WALLET,500
4/7/2024,6201338,5868,UPG_DIGITAL_WALLET,100
4/8/2024,6228289,24660,UPG_DIGITAL_WALLET,"1,800"
2/26/2024,5565499,596568,UPG_DIGITAL_WALLET,50
3/17/2024,5867305,279342,COLLECTION,"2,000"
3/17/2024,5867370,15570,UPG_DIGITAL_WALLET,"3,000"
4/16/2024,6340303,124056,UPG_DIGITAL_WALLET,"1,000"
3/17/2024,5867783,51144,COLLECTION,"1,000"
3/17/2024,5868034,17142,COLLECTION,"2,000"
3/17/2024,5868416,15690,UPG_DIGITAL_WALLET,"10,000"
4/9/2024,6245867,53046,UPG_DIGITAL_WALLET,900
4/10/2024,6254343,453144,COLLECTION,"2,000"
4/7/2024,6212365,453162,UPG_DIGITAL_WALLET,500
4/9/2024,6234772,24666,UPG_DIGITAL_WALLET,"1,000"
4/21/2024,6416024,477660,UPG_DIGITAL_WALLET,600
4/21/2024,6415115,13506,UPG_DIGITAL_WALLET,500
3/3/2024,5662748,517224,UPG_DIGITAL_WALLET,50
4/25/2024,6483689,312648,UPG_DIGITAL_WALLET,300
4/20/2024,6413335,279438,UPG_DIGITAL_WALLET,75
2/8/2024,5291905,17136,COLLECTION,"2,000"
3/14/2024,5830905,347778,UPG_DIGITAL_WALLET,"1,100"
4/8/2024,6227427,588984,COLLECTION,"2,000"
4/8/2024,6227530,55782,COLLECTION,"4,000"
4/10/2024,6258374,400146,UPG_DIGITAL_WALLET,30
3/14/2024,5831092,98010,UPG_DIGITAL_WALLET,"1,005"
4/13/2024,6297134,524766,UPG_DIGITAL_WALLET,"1,000"
4/7/2024,6208798,23958,UPG_DIGITAL_WALLET,"4,000"
4/13/2024,6284065,12588,COLLECTION,"1,000"
4/8/2024,6228077,321720,UPG_DIGITAL_WALLET,65
3/14/2024,5831470,71292,UPG_DIGITAL_WALLET,"5,000"
4/9/2024,6240414,199200,UPG_DIGITAL_WALLET,100
4/14/2024,6300174,340884,UPG_DIGITAL_WALLET,"1,050"
4/9/2024,6240443,584256,COLLECTION,"10,000"
4/11/2024,6258570,193368,UPG_DIGITAL_WALLET,"2,200"
4/9/2024,6240646,587640,UPG_DIGITAL_WALLET,11
4/8/2024,6217011,110856,UPG_DIGITAL_WALLET,500
3/14/2024,5831489,527808,UPG_DIGITAL_WALLET,700
4/11/2024,6258743,15768,UPG_DIGITAL_WALLET,250
4/9/2024,6240697,472872,UPG_DIGITAL_WALLET,10
3/14/2024,5831702,541602,UPG_DIGITAL_WALLET,10
4/7/2024,6209076,100050,COLLECTION,"1,500"
4/8/2024,6228521,473190,UPG_DIGITAL_WALLET,"1,000"
4/13/2024,6288900,110964,COLLECTION,"3,000"
1/8/2024,4839606,334284,UPG_DIGITAL_WALLET,"3,000"
2/28/2024,5598053,490782,UPG_DIGITAL_WALLET,250
2/24/2024,5529051,594456,UPG_DIGITAL_WALLET,500
1/8/2024,4839709,300,UPG_DIGITAL_WALLET,100
2/28/2024,5592963,491400,UPG_DIGITAL_WALLET,100
2/27/2024,5572306,579402,UPG_DIGITAL_WALLET,60
3/17/2024,5866834,440916,UPG_DIGITAL_WALLET,"1,590"
4/16/2024,6340256,157098,UPG_DIGITAL_WALLET,"1,000"
4/16/2024,6340255,628806,UPG_DIGITAL_WALLET,"1,000"
3/17/2024,5866983,42156,UPG_DIGITAL_WALLET,"1,000"
3/17/2024,5868040,625776,UPG_DIGITAL_WALLET,500
4/17/2024,6368160,525450,UPG_DIGITAL_WALLET,200
3/17/2024,5867976,577698,UPG_DIGITAL_WALLET,500
4/14/2024,6310723,625176,UPG_DIGITAL_WALLET,50
4/18/2024,6381956,127008,UPG_DIGITAL_WALLET,"2,000"
4/18/2024,6377354,292956,UPG_DIGITAL_WALLET,80
3/17/2024,5868037,600066,COLLECTION,"2,000"
4/17/2024,6362971,277050,UPG_DIGITAL_WALLET,5
4/18/2024,6368210,618486,UPG_DIGITAL_WALLET,12
4/18/2024,6381979,512304,UPG_DIGITAL_WALLET,"2,000"
4/17/2024,6357371,133854,UPG_DIGITAL_WALLET,870
4/15/2024,6335112,631776,UPG_DIGITAL_WALLET,"1,000"
4/15/2024,6335135,322800,UPG_DIGITAL_WALLET,100
4/18/2024,6377426,218226,UPG_DIGITAL_WALLET,850
3/17/2024,5868695,15690,UPG_DIGITAL_WALLET,"1,900"
3/17/2024,5868717,314058,UPG_DIGITAL_WALLET,100
3/17/2024,5868785,488232,UPG_DIGITAL_WALLET,"1,210"
3/17/2024,5868871,578862,UPG_DIGITAL_WALLET,5
4/15/2024,6335247,566088,UPG_DIGITAL_WALLET,"1,000"
3/17/2024,5868982,9558,COLLECTION,"5,000"
4/16/2024,6346873,558072,UPG_DIGITAL_WALLET,"2,000"
3/14/2024,5831093,61698,COLLECTION,700
4/8/2024,6228122,510942,UPG_DIGITAL_WALLET,12
4/9/2024,6240793,102552,UPG_DIGITAL_WALLET,"6,613"
4/8/2024,6228618,439992,COLLECTION,"1,500"
4/8/2024,6228563,342912,UPG_DIGITAL_WALLET,"1,000"
3/17/2024,5866780,302442,UPG_DIGITAL_WALLET,500
3/17/2024,5867295,406398,UPG_DIGITAL_WALLET,"2,000"
3/17/2024,5868118,597120,UPG_DIGITAL_WALLET,500
4/16/2024,6346703,56202,COLLECTION,"1,155"
3/17/2024,5868663,23142,UPG_DIGITAL_WALLET,200
4/14/2024,6310711,298926,UPG_DIGITAL_WALLET,20
4/18/2024,6377353,21150,UPG_DIGITAL_WALLET,461
4/15/2024,6335271,521148,UPG_DIGITAL_WALLET,"3,877"
4/14/2024,6310835,268590,COLLECTION,"1,050"
3/17/2024,5869132,190260,UPG_DIGITAL_WALLET,450
4/16/2024,6346855,16776,COLLECTION,"1,500"
4/18/2024,6372380,116172,COLLECTION,"1,000"
3/17/2024,5869423,434970,COLLECTION,500
4/16/2024,6340505,318246,UPG_DIGITAL_WALLET,"2,000"
4/17/2024,6357456,506244,UPG_DIGITAL_WALLET,150
3/17/2024,5869397,252366,UPG_DIGITAL_WALLET,"1,000"
4/15/2024,6318032,512352,UPG_DIGITAL_WALLET,500
4/18/2024,6377265,496422,COLLECTION,"1,170"
4/18/2024,6372615,571044,UPG_DIGITAL_WALLET,200
4/14/2024,6311034,274548,UPG_DIGITAL_WALLET,400
3/17/2024,5869947,328752,UPG_DIGITAL_WALLET,"2,000"
4/17/2024,6352925,537024,COLLECTION,"1,500"
3/17/2024,5870211,34752,COLLECTION,"1,000"
4/15/2024,6328988,489612,UPG_DIGITAL_WALLET,815
3/17/2024,5870034,300,UPG_DIGITAL_WALLET,100
3/17/2024,5870140,215160,COLLECTION,"1,000"
4/16/2024,6340667,233736,UPG_DIGITAL_WALLET,"2,500"
4/15/2024,6328984,505014,UPG_DIGITAL_WALLET,200
4/25/2024,6490036,277356,UPG_DIGITAL_WALLET,"1,680"
2/13/2024,5366766,498936,UPG_DIGITAL_WALLET,200
2/11/2024,5328845,506448,UPG_DIGITAL_WALLET,384
2/14/2024,5376489,5496,UPG_DIGITAL_WALLET,"5,900"
2/11/2024,5328871,213288,COLLECTION,"1,600"
2/12/2024,5349615,233322,COLLECTION,"1,400"
2/13/2024,5361438,23808,COLLECTION,"1,800"
2/14/2024,5376528,386124,UPG_DIGITAL_WALLET,"2,000"
2/13/2024,5361445,428484,COLLECTION,"3,000"
3/21/2024,5933764,151374,COLLECTION,"2,500"
3/22/2024,5937285,17820,COLLECTION,"2,000"
4/22/2024,6436983,208680,UPG_DIGITAL_WALLET,100
4/19/2024,6396458,513702,UPG_DIGITAL_WALLET,300
4/20/2024,6404762,394236,COLLECTION,"2,000"
4/21/2024,6424708,267216,COLLECTION,"4,300"
4/20/2024,6404073,56214,COLLECTION,"1,000"
4/24/2024,6471034,276288,COLLECTION,"2,000"
4/23/2024,6464801,607080,UPG_DIGITAL_WALLET,200
1/13/2024,4911533,11970,UPG_DIGITAL_WALLET,"1,000"
1/13/2024,4911527,259956,UPG_DIGITAL_WALLET,136
3/7/2024,5735623,46350,UPG_DIGITAL_WALLET,62
1/13/2024,4911587,8754,UPG_DIGITAL_WALLET,300
3/7/2024,5735499,530184,UPG_DIGITAL_WALLET,"3,200"
4/11/2024,6260698,34956,UPG_DIGITAL_WALLET,"1,975"
4/12/2024,6273844,49314,UPG_DIGITAL_WALLET,"2,000"
3/12/2024,5796069,205104,COLLECTION,"1,500"
4/29/2024,6546826,276042,COLLECTION,"1,000"
3/22/2024,5944160,554484,UPG_DIGITAL_WALLET,30
2/17/2024,5422148,504366,COLLECTION,"2,500"
1/3/2024,4771600,195876,COLLECTION,"3,500.01"
